ID,ALIMENTO,Energia KJ,Energia Kcal,Umidade g,Carboidrato total,Carboidrato disponível,Proteína,Lipídios,Fibra alimentar,Álcool,Cinzas,Colesterol,Ácidos graxos saturados,Ácidos graxos monoinsaturados,Ácidos graxos polinsaturados,Ácidos graxos trans,Cálcio,Ferro,Sódio,Magnésio,Fósforo,Potássio,Zinco,Cobre,Selênio,Vitamina A (RE),Vitamina A (RAE),Vitamina D,Alfa-tocoferol (Vitamina E),Tiamina,Riboflavina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Equivalente de folato,Sal de adição,Açúcar de adição
C0843F,"Carne, frango, coxa, s/ pele, cozida, s/ óleo, c/ sal,",668,159,"66,3",0,0,"26,6","5,82",0,0,"1,32",132,"1,99","2,09","1,1",0,"11,8","0,82",243,"11,1",185,190,"2,82","0,03",NA,NA,NA,"0,04","0,21","0,05","0,05","10,4",tr,"0,48",0,"6,19","0,45",0
C0685F,"Carne, porco, bisteca, frita (c/ óleo de soja), c/ sal, Sus ssp,",1253,300,"47,1",0,0,"33,6","18,4",0,0,2,125,"5,95","6,55","4,54","0,21","68,9","0,82",242,29,288,401,"2,16","0,06","49,3","9,7","9,7","0,46","1,13","0,34",tr,"3,23",tr,"0,47",0,0,"0,45",0
C0689F,"Carne, porco, costela, assada, s/ óleo, c/ sal, Sus ssp,",1627,392,"36,8",0,0,"30,1","30,1",0,0,"1,82",112,"11,7","13,8","3,09","0,06","16,8","1,03",242,14,199,244,"3,08","0,07","8,42",tr,tr,"0,59","0,34","0,71","0,05","10,6",tr,"0,62",0,0,"0,45",0
C0692F,"Carne, porco, costela, frita (c/ óleo de soja), c/ sal, Sus ssp,",1791,432,"33,8",0,0,"27,7","35,7",0,0,"1,71",103,12,"14,6","7,62","0,09","15,5","0,96",237,"12,9",183,225,"2,84","0,09","7,75",tr,tr,"0,55","1,28","0,65","0,05","9,74",0,"0,57",0,0,"0,45",0
C0694F,"Carne, porco, costela, refogada (c/ óleo, cebola e alho), c/ sal, Sus ssp,",1734,418,"34,9","0,74","0,61","29,2","33,2","0,13",0,"1,98",110,"12,1","13,7","4,43","0,01","24,4","1,47",321,"29,8",260,415,"4,33","0,1","8,42",tr,tr,"0,59","0,55","0,71",0,"10,7","0,01","0,62","0,45","0,69","0,45",0
C0697F,"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal, Sus ssp,",840,200,"56,3",0,0,"35,6","6,37",0,0,"1,81",102,"2,59","2,89","0,7","0,02","19,5","0,46",218,"18,1",237,309,"1,75","0,03","9,81",tr,tr,"0,48","0,21","0,74","0,07","12,4","0,11","0,55",0,"1,11","0,45",0
C0211A,"Arroz, integral, cozido, c/ óleo, cebola e alho, c/ sal,",489,116,"71,7",23,"20,9","2,46","2,03","2,14",0,"0,83",0,"0,43","0,61","0,97","0,01","2,85","0,12",188,"22,3","42,5","42,8","0,27","0,02","0,79",0,0,0,"0,34","0,07",tr,tr,"0,08",0,"0,45","4,49","0,47",0
C0303B,"Batata, doce, s/ casca, assada, c/ óleo de soja, c/ sal,",610,144,"59,2","35,1","31,2","2,18","0,28","3,88",0,"3,22",0,"0,1",tr,"0,08",0,"37,2","0,51",199,"31,9","48,1",449,"0,26","0,15","1,1",788,394,0,"1,46","0,06",tr,tr,"0,12",0,"17,4","14,6","0,47",0
C0882B,"Batata, doce, s/ casca, assada, salsa, c/ azeite de oliva, c/ pimenta-do-reino, c/ sal,",764,182,"56,7","33,3","29,6","2,09","5,28","3,73",0,"2,61",0,"0,84","3,66","0,64",0,"36,6","0,54","11,1","30,5",46,427,"0,26","0,14","1,05",746,373,0,"2,31","0,06",0,"0,01","0,11",0,"16,5","14,2","0,47",0
C0299B,"Batata, doce, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal,",466,111,"73,3","22,4","19,8","0,83","2,55","2,66",0,"0,92",0,"0,4","0,55","1,5",0,21,"0,23",191,"13,6","18,8",181,"0,15","0,08","0,19",1365,682,0,"1,44","0,1",tr,"3,14","0,06",0,29,"7,21","0,47",0
C0305B,"Batata, doce, s/ casca, frita (c/ óleo de soja), c/ sal,",1061,254,"48,4","36,8","32,4","1,36","12,2","4,36",0,"1,21",0,"1,88","2,78","7,29",0,"34,4","0,38",193,"22,3","30,8",296,"0,25","0,16","0,32",2014,1007,0,"2,17","0,13",tr,"4,89","0,09",0,"42,8","8,87","0,47",0
C0118B,"Batata, inglesa, frita (c/ óleo de soja), c/ sal,Solanum tuberosum L.,",1036,248,49,"32,7","29,5","4,04","11,9","3,16",0,"2,34",0,"1,9","3,08","5,99","0,06","5,78","0,4",189,"12,8",63,442,"0,34","0,09","0,78",tr,tr,0,-,"0,16",tr,"2,26","0,09",0,"14,8","5,64","0,47",0
C0141B,"Batata, inglesa, s/ casca, assada, s/ óleo, c/ sal,Solanum tuberosum L.,",377,89,76,"20,4","18,8","2,52","0,05","1,63",0,"1,04",0,"0,01",tr,"0,02",0,"4,66","0,5",187,"18,5","54,2",549,"0,33","0,13","0,37",tr,tr,0,"0,01","0,11",tr,tr,"0,19",0,"34,9","15,7","0,47",0
